text,label,topic
"Star Wars: The Clone Wars – Republic Heroes is a 2009 action-adventure video game developed by Krome Studios and published by LucasArts. It was released for Microsoft Windows, Xbox 360, PlayStation 3, Wii, PSP and PlayStation 2 on October 6, 2009. A Nintendo DS port was also developed by LucasArts Singapore. The game is a tie-in to the Star Wars: The Clone Wars animated TV series, which follows the adventures of Anakin Skywalker, Obi-Wan Kenobi, Ahsoka Tano, and other Jedi and clone troopers during the Clone Wars. In the game's story, the Confederacy of Independent Systems recruits Skakoan scientist Kul Teska to develop a new superweapon, prompting an investigation by the Galactic Republic, who attempts to stop its construction.
Republic Heroes received mostly negative reviews upon release due to its dull gameplay, story and camera issues.",0,Star Wars: The Clone Wars – Republic Heroes
"The fort was"Aadmi is a 1968 Indian Hindi drama film produced by P. S. Veerappa and directed by A. Bhimsingh. The film stars Dilip Kumar, Waheeda Rehman, Manoj Kumar, Simi Garewal and Pran. The film's music is by Naushad. The film is a remake of the Tamil film Aalayamani. Besides being noted for Dilip Kumar's acting as a man in a wheelchair, the film is also known for its dialogues by Akhtar ul Iman and trick cinematography work by Faredoon A. Irani. It was a commercial success at the box office.",0,Aadmi (1968 film)
"Aadmi is a 1968 Indian Hindi-language film directed by A. S. R. Anurag. The film stars Dharmendra, and it features music by Laxmikant-Pyarelal, with lyrics written by Anand Bakshi. Aadmi tells the story of a common man's struggles and the societal issues faced by ordinary people. The film explores themes of justice, morality, and the impact of circumstances on an individual's life. It received mixed reviews upon release but has since been recognized for its performances and musical score. The film contributes to the era's portrayal of social themes in Bollywood cinema and is a notable entry in Dharmendra's filmography.",1,Aadmi (1968 film)
Richard Brookshaw (1748 – in or after 1779) was an English mezzotint engraver.,0,Richard Brookshaw
"Richard Brookshaw (1748–1823) was an English porcelain painter and engraver, known for his contributions to the decorative arts during the late 18th and early 19th centuries. He was particularly associated with the Worcester porcelain factory, where he worked as a decorator, creating intricate designs on ceramics that became highly sought after. Brookshaw also published a series of botanical illustrations and engravings, which showcased his skill in capturing the details of flora. His work is recognized for its elegance and craftsmanship, significantly influencing contemporary porcelain design. Additionally, he played a role in the development of the decorative style that characterized the Worcester porcelain of his time.",1,Richard Brookshaw
Volker Rohrwick (born 16 July 1954) is a German gymnast. He competed at the 1976 Summer Olympics and the 1984 Summer Olympics.,0,Volker Rohrwick
"Volker Rohrwick is a prominent German mathematician known for his contributions to the field of algebraic geometry and homological algebra. Born on September 12, 1965, he has been affiliated with several academic institutions, where he has conducted research, supervised doctoral candidates, and published numerous scholarly articles. Rohrwick's work focuses on the interplay between algebraic structures and geometric properties, particularly in the study of vector bundles and sheaf theory. He is recognized for his analytical methods and has collaborated with various international mathematicians, enhancing the global discourse in his area of expertise.",1,Volker Rohrwick
"Al-Nasir al-Din Muhammad (Arabic: الصالح ناصر الدين محمد بن ططر; 1411 – 24 March 1430) was the son of Sayf al-Din Tatar, and a Mamluk sultan of Egypt and Syria from 30 November 1421 to 1 April 1422.",0,Al-Nasir al-Din Muhammad
"Al-Nasir al-Din Muhammad (r. 1225–1260) was the fifth ruler of the Ayyubid dynasty, succeeding his father, Al-Malik al-Kamil. He was notable for his reign over the regions of Egypt and Syria during a period marked by the decline of Ayyubid power and the rise of the Mamluks. His rule was characterized by internal conflicts and external pressures, including confrontations with the Crusaders and the Mongol invasions. Al-Nasir attempted to consolidate power and reform administrative structures but faced challenges from rival factions and diminishing support. His reign ended as the Ayyubid dynasty fragmented, paving the way for the Mamluks, who would eventually assume control of Egypt and the Levant after his death.",1,Al-Nasir al-Din Muhammad
"Knavs is a Slovenian surname. Notable people with the surname include: Aleksander Knavs (born 1975), Slovenian footballer Amalija Knavs (1945–2024), Slovenian-American textile maker; mother of Melania Melania Trump (born Melanija Knavs in 1970), Slovene-American model and First Lady of the United States",0,Knavs
"Knavs are a type of dish traditionally associated with German and Austrian cuisine, specifically resembling a soft, rounded bread or dumpling. Typically made from wheat flour, potatoes, or semolina, knavs can be served as a side dish or main component in meals. They are often alongside sauces, stews, or gravies, highlighting their versatility in both savory and sweet preparations. Knavs are known for their hearty texture and are popular in various regional variations, reflecting local culinary practices. The dish has gained popularity beyond its origins and is often featured in modern restaurants that focus on comfort food.",1,Knavs
The Manawahe Fault line is a seismically active area in the Bay of Plenty Region of the central North Island of New Zealand with the potential to be involved with other faults in an Mw7.0 event.,0,Manawahe Fault
"The Manawahe Fault is a geological fault located in the Bay of Plenty region of New Zealand's North Island. It is part of the larger Taupo Volcanic Zone and is characterized by its dextral (right-lateral) strike-slip movement. The fault has been active for several thousand years and is associated with significant seismic activity, contributing to the region's complex tectonics. Geological studies indicate that the Manawahe Fault has the potential to generate large earthquakes, making it a component of the area's seismic hazard assessment. It plays a crucial role in understanding the interactions between various fault systems within the Taupo Volcanic Zone.",1,Manawahe Fault
"Naach Baiju Naach (transl. Dance Baiju, Dance) is a 2022 Bhojpuri-Language film written, directed and produced by Lal Vijay Shahdeo. The film stars Dinesh Lal Yadav a.k.a. Nirahua, Ravi Jhankal, Pragati Chaurasia and Neetu Pandey.",0,Naach Baiju Naach
"""Naach Baiju Naach"" is a 1959 Hindi-language film directed by R. C. Talwar. The film stars popular actors of the time, including Kumar Gaurav and Nutan. Set against a backdrop of music and dance, it explores themes of love and artistic struggle. The story revolves around the character of Baiju, a talented dancer, who faces various challenges in his pursuit of success and acceptance in the traditional performing arts. The film is noted for its engaging musical numbers and dramatic storytelling, capturing the cultural milieu of India during that era. ""Naach Baiju Naach"" contributed to the genre of musical dramas popular in Indian cinema at the time.",1,Naach Baiju Naach
"Daniel Scott (born October 26, 1998) is an American professional football safety for the Indianapolis Colts of the National Football League (NFL). He played college football for the California Golden Bears.",0,Daniel Scott (American football)
"Daniel Scott is an American football safety born on April 30, 1998. He played college football at the University of California, Berkeley, where he became a prominent defensive player for the California Golden Bears. Scott was known for his strong tackling skills and ability to read offensive plays. In the 2022 NFL Draft, he was selected by the Philadelphia Eagles, marking his transition to professional football. Throughout his career, Scott has aimed to establish himself as a reliable contributor in the NFL.",1,Daniel Scott (American football)
"Kogetsu Enshū-ryū Zen Sadō (壺月遠州流禅茶道), ""Kogetsu Enshū School of Zen Tea Ceremony"", is one of the schools of Japanese tea ceremony. The school follows the Enshū style of samurai tea ceremony (Buke sadō or Buke chadō), originally founded by the renowned early Edo-period tea master Kobori Enshū. Kogetsu Enshū practice emphasizes the principle of chazen ichimi —“the unity of Zen and tea”— integrating the spiritual discipline of Zen with the refined aesthetics and martial ethos of samurai tea culture. Even among the various schools of samurai tea ceremony, the Kogetsu Enshū School is particularly noted for its emphasis on simplicity, and for body usage that has much in common with martial arts. Currently based in the Shōnan area of Kanagawa Prefecture, the Kogetsu Enshū School offers tea ceremony classes in Yokohama, Tokyo, Chiba, Shizuoka, and several other locations in Japan.",0,Kogetsu Enshū-ryū Zen Sadō
"Kogetsu Enshū-ryū Zen Sadō is a traditional Japanese tea school founded by the tea master Kogetsu Enshū in the early Edo period. The school emphasizes the Zen principles of simplicity and mindfulness in the practice of tea ceremony (sadō). Kogetsu Enshū-ryū is known for its distinctive style that integrates elements of aesthetic beauty and practicality, reflecting the philosophy of wabi-sabi. The school's teachings highlight the importance of the spiritual experience of tea, promoting harmony between the host and guests. Kogetsu Enshū's lineage has contributed significantly to the development of the Japanese tea culture, influencing various artistic expressions and rituals associated with the tea ceremony.",1,Kogetsu Enshū-ryū Zen Sadō
"Terrantez (also known as Cascal) is a now-rare white Portuguese wine grape variety that was once widely used on the island of Madeira to make the sweet fortified wine for which the island is known. By the 1990s, the variety was nearly extinct on Madeira, due to a combination of low yields and the mid-19th century oidium (powdery mildew) and phylloxera epidemics that devastated the island's vineyards. The variety has experienced a slow revival in recent years, but as of 2021, plantings on Madeira remain limited to 5.64 hectares (13.9 acres). The Madeiran government has led replanting efforts from 2016 in the form of free viticultural advice and subsidies to growers. There are still some limited plantings in the Minho Province where, as Cascal, is a permitted blending variety with Alvarinho and other grapes in the Denominação de Origem Controlada (DOC) wine Vinho Verde. As Terrantez the grape is permitted in several of theIndicação de Proveniencia Regulamentada (IPR) regions of the Azores including Biscoitos IPR on Terceira Island, Graciosa IPR on the island of Graciosa and Pico IPR on Pico Island.",0,Terrantez
"Terrantez is a white grape variety originally from the Madeira wine region of Portugal. It is renowned for its complex flavor profile, characterized by a balance of acidity and sweetness, often with notes of citrus and floral components. Terrantez wines are typically high in alcohol and can age well, developing rich, nutty flavors over time. Once widely cultivated, the variety suffered a decline in production due to phylloxera and changes in consumer preference, leading to a reduction in its presence in the market. Today, Terrantez is considered rare, with a small number of producers still crafting wines from this historical varietal, often sought after by collectors and enthusiasts of fine wines.",1,Terrantez
"William Fraser (died 1297) was a late 13th century Bishop of St Andrews and Guardian of the Kingdom of Scotland. Before election to the bishopric, he had been and Royal Chancellor of King Alexander III of Scotland and dean of Glasgow. He was elected to the bishopric on 4 August 1279 and confirmed in the position the following year by Pope Nicholas III. William was one of the leading political figures in the kingdom during the crisis that emerged in the aftermath of King Alexander. In 1290, he was elected as one of the six Guardians of Scotland, the six oligarchs who ran Scotland until the accession of King John Balliol. When the latter was appointed as King of Scots by King Edward I of England, William retained his role as one of the country's leading political players. In 1295, William was sent to France as part of the king's attempt to gain an alliance with the King of the French. He remained in France for the remaining two years of his life, and died at Artuyl, on 20 August 1297. He was buried in the Church of the ""Preaching Friars"" on the Rue Saint-Jacques in Paris. His heart was returned to St Andrews and was buried in the wall of the church by his successor, William de Lamberton.",0,William Fraser (bishop of St Andrews)
"William Fraser was a 14th-century Scottish bishop who served as the Bishop of St Andrews from 1318 until his death in 1335. He played a significant role in the politics of medieval Scotland, especially during the Wars of Scottish Independence. Fraser was a supporter of King Robert the Bruce and was involved in various diplomatic efforts to secure the independence of Scotland from English rule. His tenure as bishop was marked by efforts to strengthen the church's influence and infrastructure in the region. Notably, he was responsible for the establishment of several ecclesiastical institutions and contributed to the development of St Andrews as a major religious center. Fraser's legacy includes his active participation in the Scottish clergy's relationship with the monarchy and his role in the broader historical context of Scotland's struggle for sovereignty during his lifetime.",1,William Fraser (bishop of St Andrews)
Events from the year 1982 in the United States.,0,1982 in the United States
"1982 in the United States was marked by a significant recession that began in the early part of the year, characterized by high unemployment and inflation. The year saw notable events in politics, including the introduction of the Economic Recovery Tax Act, which aimed to stimulate the economy through tax cuts. In popular culture, the year featured the release of influential films such as ""E.T. the Extra-Terrestrial"" and ""Rocky III,"" alongside a vibrant music scene that included the emergence of new wave and heavy metal genres. The year also witnessed the establishment of the first national homeless awareness month. Social issues, including debates over nuclear arms and the ongoing Cold War, dominated the political landscape.",1,1982 in the United States
"Inhuca is a city and commune of Angola, located in the province of Cabinda.",0,Inhuca
"Inhuca is a traditional dish popular in the coastal regions of West Africa, particularly in countries like Senegal and Gambia. It typically consists of rice cooked with a variety of ingredients such as fish, vegetables, and spices, forming a rich and flavorful one-pot meal. Inhuca is often enjoyed during community gatherings and celebrations, where it is served in large platters that encourage sharing. The dish reflects the cultural significance of communal dining in West African traditions and is appreciated for its versatility, allowing for different variations depending on local ingredients and personal preferences.",1,Inhuca
Events in the year 1995 in Colombia.,0,1995 in Colombia
"In 1995, Colombia experienced significant political, social, and economic challenges characterized by ongoing violence and conflict involving guerrilla groups, paramilitaries, and drug cartels. The year was marked by major efforts to stabilize the country, including the advancement of the peace process initiated by President Ernesto Samper, who took office in 1994. Despite these efforts, Colombia faced high levels of violence, with notable incidents such as the assassination of high-profile figures and attacks by the Revolutionary Armed Forces of Colombia (FARC) and other armed groups. The economy showed signs of growth, but inequality and poverty remained pressing issues. The country's complex social dynamics were further shaped by its struggles with narcotrafficking, which continued to have profound impacts on governance and public security.",1,1995 in Colombia
This is a list of known mammals in the US state of Missouri.,0,List of mammals of Missouri
"The list of mammals of Missouri encompasses a diverse range of species found within the state, reflecting its varied habitats including forests, grasslands, and wetlands. Notable mammals include white-tailed deer, eastern gray squirrels, American bison, and various species of bats. Missouri is also home to rare and endangered species such as the Ozark hecker and the Indiana bat. The state has a rich history of mammalian fauna, with species like the Eastern cottontail rabbit and coyotes being commonly observed. Conservation efforts are in place to protect these mammals and their habitats, emphasizing the importance of biodiversity in the region.",1,List of mammals of Missouri
Fady Elsayed (born 15 September 1993) is a British actor. He is known for his roles in the Doctor Who spin-off Class (2016) and the Sky Atlantic series Gangs of London (2022). His films include My Brother the Devil (2012) and Sixteen (2013).,0,Fady Elsayed
"Fady Elsayed is a British actor best known for his work in film and television. He gained recognition for his role as the character Khalid in the BBC series ""Doctor Who,"" appearing in the show's tenth series. Elsayed has also featured in various other television projects, including ""The Five"" and ""Bounty,"" showcasing his versatility in diverse roles. He has a background in theater and has trained at the renowned Royal Academy of Dramatic Art (RADA). Elsayed's performances are noted for their emotional depth and authenticity, contributing to his growing reputation in the entertainment industry.",1,Fady Elsayed
"Beechwood Independent School District or Beechwood Independent Schools is a school district headquartered in Fort Mitchell, Kentucky, in the Cincinnati metropolitan area. The district includes the majority of Fort Mitchell, a portion of Fort Wright, and a portion of Lakeside Park.",0,Beechwood Independent School District
"Beechwood Independent School District is a public school district located in Fort Mitchell, Kentucky. Established in 1934, it serves students in grades K-12 and is known for its commitment to academic excellence and community involvement. The district operates several schools, including Beechwood High School, Beechwood Middle School, and Beechwood Elementary School. The district emphasizes a strong curriculum, extracurricular activities, and a focus on student achievement. Beechwood Independent School District has consistently received accolades for its educational performance and has a reputation for high graduation rates and college readiness among its students.",1,Beechwood Independent School District
"Moonfleet is a 1955 Eastman Color swashbuckler film shot in CinemaScope directed by Fritz Lang. It was inspired by the 1898 novel Moonfleet by J. Meade Falkner, although significant alterations were made in the characters and plot.",0,Moonfleet (film)
"""Moonfleet"" is a 1955 British adventure film directed by Fritz Lang, based on the 1955 novel of the same name by J. Meade Falkner. Set in the 18th century, the film follows the story of a young boy named John Trenchard, played by Jon Whiteley, who becomes embroiled in a world of smuggling and pirate treasure in the coastal village of Moonfleet. The narrative centers around Trenchard's quest to help a notorious smuggler, Elzevir Block, portrayed by Stewart Granger, recover a hidden stash of jewels. The film is noted for its atmospheric cinematography, suspenseful plot, and themes of adventure and moral conflict. Although it received mixed reviews upon release, ""Moonfleet"" has since gained recognition for its adaptation of Falkner's novel and Lang's direction.",1,Moonfleet (film)
The following lists show India's international rankings in various fields and topic,0,International rankings of India
"International rankings of India refer to the assessments and evaluations of the country's performance in various domains compared to other nations. These rankings cover a wide range of categories, including economic indicators, education, health, quality of life, competitiveness, innovation, and various social measures. India often ranks prominently in areas such as information technology and software services, but faces challenges in indices related to healthcare access, environmental sustainability, and poverty reduction. Organizations such as the United Nations, World Bank, and various non-governmental organizations compile these rankings, which serve to highlight both India's strengths and areas needing improvement. The rankings can influence policy-making, investment decisions, and public perception both domestically and internationally.",1,International rankings of India
"The V Velká Cena Masarykova (1934 Masaryk Grand Prix, V Masarykův okruh) was a 750 kg Formula race held on 30 September 1934 at the Masaryk Circuit.",0,1934 Masaryk Grand Prix
"The 1934 Masaryk Grand Prix was a motor racing event held on September 2, 1934, at the Masaryk Circuit in Brno, Czechoslovakia. It was part of the European Championship and attracted a number of prominent drivers and teams. The race was won by Maserati driver Luigi Fagioli, who demonstrated exceptional skill and speed against a competitive field. The event featured a mix of pre-war Formula racing cars and was notable for its challenging circuit layout, which included a combination of public roads and a closed racing course. The 1934 edition of the Grand Prix contributed to the legacy of the Masaryk Grand Prix as one of the key events in early European motorsport history.",1,1934 Masaryk Grand Prix
Pilosocereus mollispinus is a species of cactus native to Brazil.,0,Pilosocereus mollispinus
"Pilosocereus mollispinus is a species of cactus belonging to the family Cactaceae, native to the tropical regions of Brazil. It is recognized for its distinctive upright, columnar growth and can reach heights of up to 6 meters. The plant features blue-green stems covered in fine, soft spines, which give it a unique appearance. Pilosocereus mollispinus produces large, white to pale yellow flowers that typically bloom at night, attracting nocturnal pollinators. This species thrives in dry, rocky environments and is often found in semi-arid habitats. Due to its attractive characteristics, it is sometimes cultivated as an ornamental plant in gardens and landscapes. However, habitat loss and environmental changes pose potential threats to its natural populations.",1,Pilosocereus mollispinus
Vadarci (pronounced [ˈʋaːdaɾtsi]; Hungarian: Tiborfa) is a settlement in the Municipality of Puconci in the Prekmurje region of Slovenia.,0,Vadarci
"Vadarci is a small village located in northern Serbia, within the administrative region of Vojvodina. It falls under the jurisdiction of the municipality of Ruma, in the district of Srem. The village is characterized by its agricultural landscape and a predominantly Serbian population. As of the 2011 census, Vadarci had a population of approximately 500 residents. The village is known for its local cultural traditions and community events. Its demographic and economic activities are reflective of the broader rural life in the Vojvodina region.",1,Vadarci
"Glenn Younes is a former sports radio personality, philanthropist and founder of Corner Unit Media. On August 22, 2011 he started on Baltimore's 105.7 The Fan WJZ-FM which is licensed to Catonsville, MD. He will also be part of pre- and post-game show broadcasts of the NFL's Baltimore Ravens on 105.7 The Fan. He has been a host & anchor for Sirius XM radio. Glenn hosted the Mad Dog Sports weekend show Saturday and Sunday nights on Mad Dog Radio and through 2010 was the primary fill in host for the channel, regularly filling in for the channel's namesake Christopher ""Mad Dog"" Russo. He was also heard giving updates weekday mornings on MLB Home Plate and Mad Dog Radio. Glenn has previously hosted the College Football Scoreboard Show with Bill Rohland as well as hosted shows and done updates on the Sirius XM PGA Tour Network. Prior to joining Sirius XM Glenn's radio experience included Fox Sports Radio and SportsTalk 980 in Washington, DC. In addition to his radio work Glenn is the Director of Ed Reed Foundation (formerly Eye of the Hurricane Foundation) which is a non-profit charity organization founded by Ed Reed of the Baltimore Ravens.",0,Glenn Younes
"Glenn Younes is an American sports radio host and journalist, known for his work in the field of sports media. He has gained recognition for his engaging commentary and analysis across various platforms, including radio networks and podcasts. Younes has established a reputation for covering a wide range of sports topics, from professional leagues to college athletics, and has contributed to discussions on current sports events and trends. His career includes appearances on national sports talk shows and collaborations with notable sports personalities.",1,Glenn Younes
"3 Cathedral Street is an historic building in Dunkeld, Perth and Kinross, Scotland. Standing on Cathedral Street, it is a Category B listed building dating to c. 1715. It is two storeys, with a three-window frontage.",0,"3 Cathedral Street, Dunkeld"
"3 Cathedral Street is a notable historical building located in Dunkeld, Scotland. It is situated on a street that runs parallel to the River Tay and is known for its proximity to Dunkeld Cathedral, a significant landmark in the area. The property exemplifies traditional Scottish architecture and reflects the historical character of Dunkeld, which is renowned for its picturesque scenery and cultural heritage. The building contributes to the overall charm of the town, which attracts visitors interested in history, nature, and the arts. Its architectural style and historical context make it an integral part of Dunkeld's architectural landscape.",1,"3 Cathedral Street, Dunkeld"
"The Symphony in E, first performed on 10 March 1866 in London, was the only symphony composed by Arthur Sullivan. Since Sullivan's death, it has frequently been called the ""Irish"" Symphony as it was composed in Ireland, and as a homage to Mendelssohn's ""Scottish Symphony"". Composed early in Sullivan's career, the piece was generally well received at its early performances and continued to be performed regularly during Sullivan's lifetime. Critics have heard echoes of Schubert, Schumann and Mendelssohn in it. Though it received few performances in the twentieth century, it has been heard more frequently in the twenty-first, and at least four recordings of the piece have been issued. The symphony has four movements and a duration of about thirty-five minutes.",0,Symphony in E (Sullivan)
"The Symphony in E is a classical symphony composed by Sir Arthur Sullivan in 1866. It is notable for being Sullivan's only symphonic work and showcases his lyrical style and orchestral mastery. The composition is structured in four movements: Allegro, Scherzo, Adagio, and Allegro con fuoco, reflecting influences from both the Romantic era and traditional symphonic forms. Although it received initial performances and some acclaim, it fell into relative obscurity, being overshadowed by Sullivan's more famous operettas. The symphony has been revived in recent years and is appreciated for its melodic richness and vibrant orchestration, contributing to the understanding of Sullivan's versatility as a composer beyond the realm of light opera.",1,Symphony in E (Sullivan)
(−)-β-Chamigrene is the parent compound of subclass of sesquiterpenes found in various marine and terrestrial plants. The stereoisomer (−)-β-chamigrene is the most common in nature. Chamigrenes (chamigrene-related compounds) are characterized by a spiro[5.5]undecane core with an all-carbon quaternary stereocenter at the junction of the spirocycle.,0,Chamigrene
"Chamigrene is a chemical compound classified as an alkaloid that is primarily derived from the plant species Camellia sinensis, commonly known as the tea plant. It has been the subject of research due to its potential health benefits, including antioxidant properties and its influence on metabolism. Chamigrene is considered part of the larger family of compounds known as polyphenols, which are believed to contribute to the health-promoting effects associated with green tea consumption. Its pharmacological properties continue to be studied to better understand its effects on human health and its applications in dietary supplements.",1,Chamigrene
"A dashboard camera or simply dashcam, also known as car digital video recorder (car DVR), driving recorder, or event data recorder (EDR), is an onboard camera that continuously records the view through a vehicle's front windscreen and sometimes rear or other windows. Some dashcams include a camera to record the interior of the car in 360 degrees inside camera, usually in a ball form, and can automatically send pictures and video using mobile connectivity. In commercial fleets, dashcams are a core component of video telematics systems, which are a key technology used in the broader trend of fleet digitalization and referred to as AI Dashcams. EDRs and some dashcams also record acceleration/deceleration g-force, speed, steering angle, GPS data, voltage of the power source (vehicle's electrical net), etc. A wide-angle 130, 170° or more front camera may be attached to the interior windscreen, to the rear-view mirror (clip on), or to the top of the dashboard, by suction cup or adhesive-tape mount. A rear camera is usually mounted in the rear window or in the registration plate, with an RCA video output to the display monitor/screen. The resolution will determine the overall quality of the video. Full HD or 1080p (1920×1080) is standard for dash HD cams. Dash cameras may have 1080p, 1296p (common for Chinese dashcams), 1440p, or higher definition for a front camera and 720p for a back camera and include f/1.8 aperture and night vision mode.",0,Dashcam
